名称,参考価格
Raspberry Pi, [5670](https://www.switch-science.com/catalog/3920/)
SD カード, [1050](https://www.amazon.co.jp/10%E5%AF%BE%E5%BF%9C%E3%80%91Samsung-microSD%E3%82%AB%E3%83%BC%E3%83%8932GB-Nintendo-MB-MC32GA-ECO/dp/B06XSV23T1/)
microUSBケーブル, [385](https://www.amazon.co.jp/ELECOM-microUSB%E3%82%B1%E3%83%BC%E3%83%96%E3%83%AB-2A%E5%87%BA%E5%8A%9B-%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%89-MPA-AMBC2U02BK/dp/B00MUDDKXY/)
USB Camera, [1190](https://www.amazon.co.jp/iBUFFALO-%E3%83%9E%E3%82%A4%E3%82%AF%E5%86%85%E8%94%B5120%E4%B8%87%E7%94%BB%E7%B4%A0Web%E3%82%AB%E3%83%A1%E3%83%A9-HD720p%E5%AF%BE%E5%BF%9C%E3%83%A2%E3%83%87%E3%83%AB-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-BSWHD06MBK/dp/B00GZAF72U/)
Motor Driver(TB6612),[708](https://www.switch-science.com/catalog/3586/)
カムプログラミングロボット,[2353](https://www.amazon.co.jp/%E3%82%BF%E3%83%9F%E3%83%A4-%E6%A5%BD%E3%81%97%E3%81%84%E5%B7%A5%E4%BD%9C%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-No-227-%E3%82%AB%E3%83%A0%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88-%E5%B7%A5%E4%BD%9C%E3%82%BB%E3%83%83%E3%83%88/dp/B073S47B11)
モバイルバッテリー, [2000](https://www.amazon.co.jp/exec/obidos/ASIN/B01M6BJNHP/360life0a-22/)
モータ駆動用のアルカリ電池,[310](https://www.amazon.co.jp/dp/B00O869QUC/)
電池ボックス, [100](http://akizukidenshi.com/catalog/g/gP-04103/)
合計, 13766